piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Catholic Hispanic Straight No degree Urban Unmarried men,Mosaic middle,Hispanic,Catholic,520.8936109,76.4723105,0.627933172,70.74954298,5.575128141,0.253303738,Democratic,0.074092501,0.179211237
Nothing in particular Black Straight No degree Urban Unmarried men,Black people,Black,Nothing in particular,518.5302388,86.68405202,0.656867207,71.37201429,4.423281944,0.252154461,Democratic,0.072186743,0.179967718
Protestant Black Straight No degree Urban Unmarried women,Black people,Black,Protestant,517.020012,97.22779437,0.68258755,91.02334446,2.213605524,0.251420057,Democratic,0.022569112,0.228850945
Other White Straight No degree Rural Married women,Mosaic middle,White,Other,516.4371382,32.77982856,0.517286106,36.73582782,7.212960108,0.251136613,Mixed,0.158879499,0.092257114
Evangelical Black Straight No degree Urban Married women,Black people,Black,Evangelical,512.5174535,95.04198797,0.659756481,90.32513858,2.12853093,0.249230522,Democratic,0.024112708,0.225117814
Catholic Hispanic Straight No degree Suburban Married women,Mosaic middle,Hispanic,Catholic,508.6905041,54.4326824,0.594839916,59.80015319,8.182819044,0.247369527,Mixed,0.099442171,0.147927356
Nothing in particular White Straight No degree Urban Married men,Mosaic middle,White,Nothing in particular,502.4500768,49.34897698,0.562699406,49.76152684,7.910894719,0.244334889,Mixed,0.122750117,0.121584771
Evangelical Black Straight No degree Suburban Married men,Black people,Black,Evangelical,498.4202045,80.06045183,0.632275267,76.34581772,5.14977274,0.242375215,Democratic,0.057331875,0.185043339
Catholic Hispanic Straight No degree Urban Unmarried women,Mosaic middle,Hispanic,Catholic,496.7568292,83.75969052,0.66351817,76.71990628,5.086335413,0.241566337,Democratic,0.05623687,0.185329467
Atheist White Straight College degree Suburban Married women,Secular,White,Atheist,493.9718263,92.86425935,0.858953107,91.3755172,2.375643287,0.240212026,Democratic,0.020717045,0.219494982
Nothing in particular White Straight College degree Rural Married men,Mosaic middle,White,Nothing in particular,492.2231555,52.87169444,0.584738985,53.1754278,9.022238708,0.239361671,Mixed,0.112080078,0.127281592
Protestant White Straight College degree Urban Unmarried women,Mosaic middle,White,Protestant,486.1784111,69.4223818,0.712208934,68.26683511,7.974937261,0.236422191,Mixed,0.075024244,0.161397947
Protestant White Straight College degree Suburban Unmarried men,Mosaic middle,White,Protestant,484.5614781,35.99211678,0.49826957,37.19491382,7.776591555,0.235635897,Mixed,0.147991328,0.087644569
Protestant White Straight College degree Urban Married women,Mosaic middle,White,Protestant,483.3487059,62.55809463,0.696758691,62.89382237,7.446977232,0.235046142,Mixed,0.087216639,0.147829503
Nothing in particular White Straight College degree Rural Unmarried women,Mosaic middle,White,Nothing in particular,481.6999573,75.76882265,0.729686957,72.83676958,4.93998736,0.234244377,Democratic,0.06362834,0.170616037
Catholic Hispanic Straight No degree Suburban Married men,Mosaic middle,Hispanic,Catholic,477.3136967,49.50586388,0.544274408,51.82892293,6.723827055,0.232111396,Mixed,0.11181056,0.120300837
